Product Name,Product Features,Price (₹),Rating,Reviews,Product Link,Image URL,Description
Ortho + Rest,N/A,418,4.1 out of 5 stars,"2,924",N/A,https://m.media-amazon.com/images/I/61Ad8cZ+vFL._AC_UL320_.jpg,N/A
SPARX,N/A,381,3.8 out of 5 stars,22,N/A,https://m.media-amazon.com/images/I/31GrKD8Z2JL._AC_UL320_.jpg,N/A
Bata,N/A,429,4.0 out of 5 stars,858,N/A,https://m.media-amazon.com/images/I/91c0KIMBeeL._AC_UL320_.jpg,N/A
Bata,N/A,299,3.9 out of 5 stars,323,N/A,https://m.media-amazon.com/images/I/5176jPYkljL._AC_UL320_.jpg,N/A
SPARX,N/A,340,4.2 out of 5 stars,53,N/A,https://m.media-amazon.com/images/I/71rgh901b3L._AC_UL320_.jpg,N/A
YOHO,N/A,647,4.1 out of 5 stars,"1,236",N/A,https://m.media-amazon.com/images/I/51Y8ncdgxiL._AC_UL320_.jpg,N/A
Liberty,N/A,399,4.0 out of 5 stars,679,N/A,https://m.media-amazon.com/images/I/61tWKRzO7+L._AC_UL320_.jpg,N/A
SPARX,N/A,399,4.2 out of 5 stars,"20,801",N/A,https://m.media-amazon.com/images/I/61zlIikIroL._AC_UL320_.jpg,N/A
hummel,N/A,475,3.4 out of 5 stars,53,N/A,https://m.media-amazon.com/images/I/5115T-R2-9L._AC_UL320_.jpg,N/A
LOUIS STITCH,N/A,"1,999",4.7 out of 5 stars,8,N/A,https://m.media-amazon.com/images/I/61B3kaauH-L._AC_UL320_.jpg,N/A
hummel,N/A,499,3.6 out of 5 stars,609,N/A,https://m.media-amazon.com/images/I/518-sXbHNNL._AC_UL320_.jpg,N/A
Keneye,N/A,299,3.4 out of 5 stars,102,N/A,https://m.media-amazon.com/images/I/61oLNV-518L._AC_UL320_.jpg,N/A
Bata,N/A,497,3.9 out of 5 stars,491,N/A,https://m.media-amazon.com/images/I/51GLwVIO5WL._AC_UL320_.jpg,N/A
Puma,N/A,649,4.1 out of 5 stars,159,N/A,https://m.media-amazon.com/images/I/51DkN+Jj9oL._AC_UL320_.jpg,N/A
Bata,N/A,389,3.2 out of 5 stars,748,N/A,https://m.media-amazon.com/images/I/51hcAPmQkDL._AC_UL320_.jpg,N/A
HEALTH FIT,N/A,789,4.1 out of 5 stars,543,N/A,https://m.media-amazon.com/images/I/61Y5dLpvLtL._AC_UL320_.jpg,N/A
Ortho + Rest,N/A,488,4.1 out of 5 stars,99,N/A,https://m.media-amazon.com/images/I/61Wvy7ku7nL._AC_UL320_.jpg,N/A
Campus,N/A,599,3.8 out of 5 stars,323,N/A,https://m.media-amazon.com/images/I/51RJIloPD1L._AC_UL320_.jpg,N/A
SPARX,N/A,381,3.3 out of 5 stars,331,N/A,https://m.media-amazon.com/images/I/61+MSLyWx8L._AC_UL320_.jpg,N/A
Neeman's,N/A,399,4.1 out of 5 stars,381,N/A,https://m.media-amazon.com/images/I/61PWOCcjWYL._AC_UL320_.jpg,N/A
adidas,N/A,"1,149",3.9 out of 5 stars,894,N/A,https://m.media-amazon.com/images/I/71yGDmrM-XL._AC_UL320_.jpg,N/A
DRUNKEN,N/A,284,3.3 out of 5 stars,"10,877",N/A,https://m.media-amazon.com/images/I/91V5ffUpG5L._AC_UL320_.jpg,N/A
Puma,N/A,949,3.6 out of 5 stars,16,N/A,https://m.media-amazon.com/images/I/41rRAM19WoL._AC_UL320_.jpg,N/A
Liberty,N/A,755,3.6 out of 5 stars,468,N/A,https://m.media-amazon.com/images/I/51WVQ1yJHCL._AC_UL320_.jpg,N/A
Bata,N/A,899,4.0 out of 5 stars,"1,645",N/A,https://m.media-amazon.com/images/I/512z06PQjXL._AC_UL320_.jpg,N/A
Skechers,N/A,757,3.5 out of 5 stars,33,N/A,https://m.media-amazon.com/images/I/61T+ABEcMAL._AC_UL320_.jpg,N/A
Bata,N/A,497,3.8 out of 5 stars,"1,013",N/A,https://m.media-amazon.com/images/I/51PYXFXHhSL._AC_UL320_.jpg,N/A
Hygear,N/A,389,3.3 out of 5 stars,76,N/A,https://m.media-amazon.com/images/I/41CK0AKmVKL._AC_UL320_.jpg,N/A
SPARX,N/A,487,3.7 out of 5 stars,244,N/A,https://m.media-amazon.com/images/I/71YtXsoACnL._AC_UL320_.jpg,N/A
U.S. POLO ASSN.,N/A,"1,197",3.6 out of 5 stars,11,N/A,https://m.media-amazon.com/images/I/711D+ZCVKdL._AC_UL320_.jpg,N/A
Woodland,N/A,881,3.5 out of 5 stars,461,N/A,https://m.media-amazon.com/images/I/71hwFv9vlsL._AC_UL320_.jpg,N/A
Neeman's,N/A,469,4.0 out of 5 stars,"1,127",N/A,https://m.media-amazon.com/images/I/51JxPGr-nPL._AC_UL320_.jpg,N/A
Bata,N/A,475,3.9 out of 5 stars,"1,300",N/A,https://m.media-amazon.com/images/I/512DpgtW+pL._AC_UL320_.jpg,N/A
Bata,N/A,525,4.1 out of 5 stars,94,N/A,https://m.media-amazon.com/images/I/5101uz3FvIL._AC_UL320_.jpg,N/A
Bata,N/A,737,3.9 out of 5 stars,"1,785",N/A,https://m.media-amazon.com/images/I/51EE16SwGML._AC_UL320_.jpg,N/A
Floatz,N/A,827,4.3 out of 5 stars,771,N/A,https://m.media-amazon.com/images/I/41S+EoVUl4L._AC_UL320_.jpg,N/A
Dr.Ortho,N/A,431,3.8 out of 5 stars,9,N/A,https://m.media-amazon.com/images/I/517E3-M8+3L._AC_UL320_.jpg,N/A
Campus,N/A,749,3.7 out of 5 stars,371,N/A,https://m.media-amazon.com/images/I/41ReJr2Go0L._AC_UL320_.jpg,N/A
Bata Comfit,N/A,"1,199",4.1 out of 5 stars,366,N/A,https://m.media-amazon.com/images/I/61no+MRaUaL._AC_UL320_.jpg,N/A
Liberty,N/A,374,3.5 out of 5 stars,970,N/A,https://m.media-amazon.com/images/I/5179aqFgQdL._AC_UL320_.jpg,N/A
Puma,N/A,999,4.0 out of 5 stars,"1,513",N/A,https://m.media-amazon.com/images/I/41riZwbs97L._AC_UL320_.jpg,N/A
YOHO,N/A,493,4.0 out of 5 stars,185,N/A,https://m.media-amazon.com/images/I/51iafNHhDGL._AC_UL320_.jpg,N/A
Bata,N/A,599,4.1 out of 5 stars,"1,171",N/A,https://m.media-amazon.com/images/I/51zpsfEOIWL._AC_UL320_.jpg,N/A
Bata,N/A,473,4.0 out of 5 stars,290,N/A,https://m.media-amazon.com/images/I/518DIMXsr3L._AC_UL320_.jpg,N/A
DRUNKEN,N/A,299,4.1 out of 5 stars,119,N/A,https://m.media-amazon.com/images/I/51u6awBag6L._AC_UL320_.jpg,N/A
