Product Name,Product Features,Price (₹),Rating,Reviews,Product Link,Image URL,Description
Lacto Calamine Face Wash For Oily Skin |100ml each- Pack of 2 | Kaolin Clay,"Niacinamide & Vitamin E | Facewash Reduces Excess Oil, Controls Pimples, Blackheads & Whiteheads |Face wash For Women & Men",179,4.0 out of 5 stars,"5,436",N/A,https://m.media-amazon.com/images/I/61P-BuPF0jL._AC_UL320_.jpg,N/A
NIVEA Men Face Wash,"Dark Spot Reduction, for Clean & Clear Skin with 10x Vitamin C Effect, 50 g",110,3.8 out of 5 stars,180,N/A,https://m.media-amazon.com/images/I/51iZDesybqL._AC_UL320_.jpg,N/A
Ethiglo Deep Cleansing Facial Foam Face Wash for Healthy,"Soft and Smooth Skin | Removes Dirt, Impurities and Excess Oil | Suitable for All Skin Types | Pack of 1 (70ml)",246,4.2 out of 5 stars,"7,912",N/A,https://m.media-amazon.com/images/I/41w8svlAv1L._AC_UL320_.jpg,N/A
Garnier Men Tubro Bright Anti-Dark Cells Fairness Face Wash,50g,119,4.1 out of 5 stars,174,N/A,https://m.media-amazon.com/images/I/41QHfCK+D6L._AC_UL320_.jpg,N/A
Sebamed Clear Face Cleansing Foam for Acne prone Skin 150 ml I pH 5.5 I Gentle,Effective hydrating cleanser for pimples | Face wash |men & womenl Oil Free l Clinically proven l Toxin free,664,4.3 out of 5 stars,"3,919",N/A,https://m.media-amazon.com/images/I/41cEoi03gAL._AC_UL320_.jpg,N/A
Smart And Handsome Instant Brightening Face Wash |Washes off Fine Pollutants*|Fades Dark Spots | Oil-Free Look,Instantly | Power of Niacinamide and Menthol | 150g,254,4.1 out of 5 stars,"1,260",N/A,https://m.media-amazon.com/images/I/712aztJIj9L._AC_UL320_.jpg,N/A
CeraVe SA Smoothing Cleanser For Dry,"Rough & Bumpy Skin, contains Salicylic Acid, Dermatologist Recommended Face wash (236ml)","1,125",4.6 out of 5 stars,"61,162",N/A,https://m.media-amazon.com/images/I/51aVAhCePFL._AC_UL320_.jpg,N/A
Himalaya Herbals Moisturizing Aloe Vera Face Wash Cream,50ml,75,4.1 out of 5 stars,"25,852",N/A,https://m.media-amazon.com/images/I/514utzZuNsL._AC_UL320_.jpg,N/A
Garnier Men Acno Fight Anti Pimple Face Wash,"Anti Pimple Face Wash with Salicylic Acid and Herba Repair, Suitable for all Skin Types, 150g",296,4.4 out of 5 stars,81,N/A,https://m.media-amazon.com/images/I/51BhB3aP-gL._AC_UL320_.jpg,N/A
Garnier Men Acno Fight Anti Pimple Face Wash,"Anti Pimple Face Wash with Salicylic Acid and Herba Repair, Suitable for all Skin Types, 150g",296,4.4 out of 5 stars,81,N/A,https://m.media-amazon.com/images/I/51BhB3aP-gL._AC_UL320_.jpg,N/A
Cetaphil Oily Skin Cleanser,"Daily Face Wash for Oily, Acne prone Skin , Gentle Foaming, 125ml",649,4.3 out of 5 stars,"13,120",N/A,https://m.media-amazon.com/images/I/51RZjGsfF5L._AC_UL320_.jpg,N/A
Clean & Clear Foaming Facewash for Oily Skin,"Brown, 240ml",259,4.4 out of 5 stars,"8,948",N/A,https://m.media-amazon.com/images/I/51JjTXvhsbL._AC_UL320_.jpg,N/A
Neutrogena Oil Free Acne Wash | Deep Cleansing Face Wash with Salicylic Acid | Hydrating,"Alcohol Free, Non Comedogenic & Dermatologically Tested | For Oily Acne Prone Skin | 175ml",720,4.2 out of 5 stars,"10,046",N/A,https://m.media-amazon.com/images/I/5171tsojQ1L._AC_UL320_.jpg,N/A
Garnier Men,"Moisturiser, Brightening and Anti-Pollution, TurboBright, 40 g",109,4.1 out of 5 stars,"8,386",N/A,https://m.media-amazon.com/images/I/51L2JRZvxxL._AC_UL320_.jpg,N/A
Neutrogena Ultra Gentle Foaming Cleanser,Face Wash for All Skin Types including Sensitive Skin | 6X Gentler Cleansing with Barriercare Technology for Men & Women | Cleanses Dirt and Oil | Hydrates & Protects Skin Barrie,461,4.7 out of 5 stars,134,N/A,https://m.media-amazon.com/images/I/41H5K59KrPL._AC_UL320_.jpg,N/A
